Entity,Code,Year,Rapeseed | 00000270 || Production | 005510 || tonnes
Africa,,1961,20000
Africa,,1962,20000
Africa,,1963,20000
Africa,,1964,20000
Africa,,1965,20000
Africa,,1966,20000
Africa,,1967,20000
Africa,,1968,20000
Africa,,1969,20000
Africa,,1970,20500
Africa,,1971,20500
Africa,,1972,20500
Africa,,1973,21000
Africa,,1974,21000
Africa,,1975,21000
Africa,,1976,20000
Africa,,1977,20000
Africa,,1978,18000
Africa,,1979,40000
Africa,,1980,37690
Africa,,1981,63690
Africa,,1982,60027
Africa,,1983,73806
Africa,,1984,73469
Africa,,1985,82708
Africa,,1986,92810
Africa,,1987,127501
Africa,,1988,140900
Africa,,1989,166125
Africa,,1990,153100
Africa,,1991,141700
Africa,,1992,122400
Africa,,1993,46100
Africa,,1994,46056
Africa,,1995,63115
Africa,,1996,86442
Africa,,1997,56725
Africa,,1998,67234
Africa,,1999,65917
Africa,,2000,67205
Africa,,2001,72386
Africa,,2002,81413
Africa,,2003,92620
Africa,,2004,93784
Africa,,2005,112655
Africa,,2006,93860
Africa,,2007,100332
Africa,,2008,111493
Africa,,2009,92363
Africa,,2010,85587
Africa,,2011,162637
Africa,,2012,180064
Africa,,2013,202832
Africa,,2014,203467
Africa,,2015,177661
Africa,,2016,177839
Africa,,2017,161438
Africa,,2018,172219
Africa,,2019,165797
Africa,,2020,209018
Africa (FAO),,1961,20000
Africa (FAO),,1962,20000
Africa (FAO),,1963,20000
Africa (FAO),,1964,20000
Africa (FAO),,1965,20000
Africa (FAO),,1966,20000
Africa (FAO),,1967,20000
Africa (FAO),,1968,20000
Africa (FAO),,1969,20000
Africa (FAO),,1970,20500
Africa (FAO),,1971,20500
Africa (FAO),,1972,20500
Africa (FAO),,1973,21000
Africa (FAO),,1974,21000
Africa (FAO),,1975,21000
Africa (FAO),,1976,20000
Africa (FAO),,1977,20000
Africa (FAO),,1978,18000
Africa (FAO),,1979,40000
Africa (FAO),,1980,37690
Africa (FAO),,1981,63690
Africa (FAO),,1982,60027
Africa (FAO),,1983,73806
Africa (FAO),,1984,73469
Africa (FAO),,1985,82708
Africa (FAO),,1986,92810
Africa (FAO),,1987,127501
Africa (FAO),,1988,140900
Africa (FAO),,1989,166125
Africa (FAO),,1990,153100
Africa (FAO),,1991,141700
Africa (FAO),,1992,122400
Africa (FAO),,1993,46100
Africa (FAO),,1994,46056
Africa (FAO),,1995,63115
Africa (FAO),,1996,86442
Africa (FAO),,1997,56725
Africa (FAO),,1998,67234
Africa (FAO),,1999,65917
Africa (FAO),,2000,67205
Africa (FAO),,2001,72386
Africa (FAO),,2002,81413
Africa (FAO),,2003,92620
Africa (FAO),,2004,93784
Africa (FAO),,2005,112655
Africa (FAO),,2006,93860
Africa (FAO),,2007,100332
Africa (FAO),,2008,111493
Africa (FAO),,2009,92363
Africa (FAO),,2010,85587
Africa (FAO),,2011,162637
Africa (FAO),,2012,180064
Africa (FAO),,2013,202832
Africa (FAO),,2014,203467
Africa (FAO),,2015,177661
Africa (FAO),,2016,177839
Africa (FAO),,2017,161438
Africa (FAO),,2018,172219
Africa (FAO),,2019,165797
Africa (FAO),,2020,209018
Algeria,DZA,1979,25000
Algeria,DZA,1980,30000
Algeria,DZA,1981,48060
Algeria,DZA,1982,44327
Algeria,DZA,1983,49576
Algeria,DZA,1984,57759
Algeria,DZA,1985,66098
Algeria,DZA,1986,72700
Algeria,DZA,1987,85711
Algeria,DZA,1988,77130
Algeria,DZA,1989,90395
Algeria,DZA,1990,70000
Algeria,DZA,1991,60000
Algeria,DZA,1992,40000
Algeria,DZA,1993,35000
Algeria,DZA,1994,30000
Algeria,DZA,1995,31583
Algeria,DZA,1996,31688
Algeria,DZA,1997,31711
Algeria,DZA,1998,30000
Algeria,DZA,1999,31000
Algeria,DZA,2000,29000
Algeria,DZA,2001,29000
Algeria,DZA,2002,27000
Algeria,DZA,2003,28000
Algeria,DZA,2004,29000
Algeria,DZA,2005,29000
Algeria,DZA,2006,29000
Algeria,DZA,2007,29000
